team_index,team_name
1,Houston
2,Duke
3,Auburn
4,Florida
5,Alabama
6,Tennessee
7,Texas Tech
8,Gonzaga
9,Maryland
10,Arizona
11,Iowa St.
11,Iowa State
12,Wisconsin
13,Michigan St.
13,Michigan State
14,BYU
15,Purdue
16,St. John's
17,Kentucky
18,UCLA
19,Missouri
20,Illinois
21,Texas A&M
22,Kansas
23,Michigan
24,Mississippi
25,Louisville
26,Clemson
27,Saint Mary's
28,Baylor
29,Oregon
30,Marquette
31,Creighton
32,Connecticut
33,VCU
34,North Carolina
35,Georgia
36,Mississippi St.
36,Mississippi State
37,West Virginia
38,Arkansas
39,Colorado St.
39,Colorado State
40,Xavier
41,New Mexico
42,Ohio St.
43,Cincinnati
44,Vanderbilt
45,Villanova
46,Boise St.
47,Texas
48,Santa Clara
49,Oklahoma
50,Northwestern
51,UC San Diego
52,Drake
53,Indiana
54,Utah St.
54,Utah State
55,SMU
56,USC
57,San Diego St.
57,SDSU
58,Kansas St.
59,McNeese St.
59,McNeese
60,Penn St.
61,Nebraska
62,Liberty
63,Memphis
64,Iowa
65,San Francisco
66,Rutgers
67,Utah
68,Arizona St.
69,North Texas
70,UCF
71,Wake Forest
72,Pittsburgh
73,South Carolina
74,George Mason
75,TCU
76,Butler
77,Stanford
78,Yale
79,Dayton
80,LSU
81,Colorado
82,UC Irvine
83,High Point
84,Saint Joseph's
85,Minnesota
86,Oklahoma St.
87,Bradley
88,Arkansas St.
89,Nevada
90,Grand Canyon
91,UNLV
92,Oregon St.
93,Georgetown
94,Loyola Chicago
95,UAB
96,Florida St.
97,Virginia
98,St. Bonaventure
99,Troy
100,Akron
101,Notre Dame
102,Georgia Tech
103,Washington St.
104,Providence
105,Northern Iowa
106,New Mexico St.
107,Lipscomb
108,UNC Wilmington
109,Syracuse
110,Washington
111,DePaul
112,St. Thomas
113,Kent St.
114,Florida Atlantic
115,Utah Valley
116,N.C. State
117,Northern Colorado
118,Middle Tennessee
119,Chattanooga
120,George Washington
121,Saint Louis
122,Illinois St.
123,North Dakota St.
124,Jacksonville St.
125,California
126,Belmont
127,North Alabama
128,Cornell
129,Kennesaw St.
130,Duquesne
131,South Alabama
132,Nebraska Omaha
132,Omaha
133,South Dakota St.
134,Montana
135,Louisiana Tech
136,Wichita St.
137,Furman
138,Robert Morris
139,Cal St. Northridge
140,Wofford
141,Seattle
142,Miami OH
143,Davidson
144,Texas A&M Corpus Chris
145,Samford
146,Tulane
147,UTEP
148,Virginia Tech
149,Loyola Marymount
150,Murray St.
151,UC Santa Barbara
152,Bryant
153,Radford
154,Milwaukee
155,Sam Houston St.
156,James Madison
157,San Jose St.
158,Cleveland St.
159,Temple
160,Charleston
161,Nicholls St.
162,Cal Baptist
163,Western Kentucky
164,Lamar
165,Rhode Island
166,Appalachian St.
167,Winthrop
168,Marshall
169,UC Riverside
170,East Tennessee St.
171,Towson
172,Purdue Fort Wayne
173,UNC Greensboro
174,Southern Illinois
175,Dartmouth
176,Boston College
177,Rice
178,Ohio
179,Drexel
180,UTSA
181,Florida Gulf Coast
182,Miami FL
183,South Carolina St.
184,Oakland
185,East Carolina
186,Eastern Kentucky
187,Montana St.
188,Cal Poly
189,Illinois Chicago
190,Portland St.
191,Wyoming
192,Central Connecticut
193,Northeastern
194,Norfolk St.
194,Norfolk State
195,Indiana St.
196,Southeast Missouri St.
197,Merrimack
198,Brown
199,Pepperdine
200,Missouri St.
201,Southeastern Louisiana
202,South Florida
203,Hampton
204,Abilene Christian
205,Youngstown St.
206,Texas St.
207,Valparaiso
208,Queens
209,Princeton
210,Wright St.
211,Idaho St.
212,Seton Hall
213,Northwestern St.
214,Quinnipiac
215,Incarnate Word
216,Southern
217,La Salle
218,Jacksonville
219,Bucknell
220,Central Michigan
221,UT Rio Grande Valley
222,William & Mary
223,Massachusetts
224,Fordham
225,SIU Edwardsville
225,SIUE
226,Hofstra
227,Vermont
228,UMKC
229,Richmond
230,Delaware
231,Longwood
232,Campbell
233,UNC Asheville
234,Tennessee St.
235,Elon
236,Maine
237,South Dakota
238,Harvard
239,Northern Kentucky
240,Tulsa
241,Hawaii
242,Iona
243,UT Arlington
244,Georgia St.
245,Sacred Heart
246,Georgia Southern
247,North Dakota
248,Portland
249,American
250,Toledo
251,Northern Arizona
252,Idaho
253,Presbyterian
254,UC Davis
255,Little Rock
256,Jackson St.
257,Evansville
258,Mount St. Mary's
258,Mt. St. Mary's
259,Manhattan
260,Monmouth
261,Cal St. Bakersfield
262,Charlotte
263,UMass Lowell
264,Houston Christian
265,Fresno St.
266,Eastern Michigan
267,Siena
268,Alabama St.
268,Alabama State
269,FIU
270,Denver
271,Gardner Webb
272,Ball St.
273,Bowling Green
274,North Florida
275,Colgate
276,Albany
277,Western Michigan
278,Stephen F. Austin
279,Mercer
280,Pacific
281,LIU
282,Texas Southern
283,Eastern Washington
284,Marist
285,Tennessee Martin
286,Navy
287,Tarleton St.
288,Austin Peay
289,Saint Peter's
290,Tennessee Tech
291,Air Force
292,Weber St.
293,Old Dominion
294,San Diego
295,Lafayette
296,Bethune Cookman
297,Columbia
298,Oral Roberts
299,Saint Francis
299,St. Francis
300,Lehigh
301,Louisiana
302,Fairleigh Dickinson
303,Utah Tech
304,Howard
305,Penn
306,Southern Miss
307,IU Indy
308,Rider
309,Loyola MD
310,Eastern Illinois
311,Charleston Southern
312,Army
313,VMI
314,Boston University
315,Long Beach St.
316,Delaware St.
317,UMBC
318,Coastal Carolina
319,Grambling St.
320,Binghamton
321,Lindenwood
322,Morehead St.
323,Florida A&M
324,North Carolina Central
325,Alcorn St.
326,Southern Utah
327,Green Bay
328,Niagara
329,Texas A&M Commerce
330,Stonehill
331,Holy Cross
332,Mercyhurst
333,Stony Brook
334,USC Upstate
335,Fairfield
336,Southern Indiana
337,Morgan St.
338,North Carolina A&T
339,Wagner
340,Bellarmine
341,Western Illinois
342,Western Carolina
343,Detroit Mercy
344,Louisiana Monroe
345,Buffalo
346,New Orleans
347,Le Moyne
348,West Georgia
349,Northern Illinois
350,Sacramento St.
351,Central Arkansas
352,NJIT
353,Stetson
354,Canisius
355,Cal St. Fullerton
356,New Hampshire
357,Prairie View A&M
358,Alabama A&M
359,Maryland Eastern Shore
360,The Citadel
361,Chicago St.
362,Arkansas Pine Bluff
363,Coppin St.
364,Mississippi Valley St.
0,TBD
